Date,Open
15-12-2014,110.7
16-12-2014,106.37
17-12-2014,107.12
18-12-2014,111.87
19-12-2014,112.26
22-12-2014,112.16
23-12-2014,113.23
24-12-2014,112.58
26-12-2014,112.1
29-12-2014,113.79
30-12-2014,113.64
31-12-2014,112.82
02-01-2015,111.39
05-01-2015,108.29
06-01-2015,106.54
07-01-2015,107.2
08-01-2015,109.23
09-01-2015,112.67
12-01-2015,112.6
13-01-2015,111.43
14-01-2015,109.04
15-01-2015,110
16-01-2015,107.03
20-01-2015,107.84
21-01-2015,108.95
22-01-2015,110.26
23-01-2015,112.3
26-01-2015,113.74
27-01-2015,112.42
28-01-2015,117.625
29-01-2015,116.32
30-01-2015,118.4
02-02-2015,118.05
03-02-2015,118.5
04-02-2015,118.5
05-02-2015,120.02
06-02-2015,120.02
09-02-2015,118.55
10-02-2015,120.17
11-02-2015,122.77
12-02-2015,126.06
13-02-2015,127.28
17-02-2015,127.49
18-02-2015,127.625
19-02-2015,128.48
20-02-2015,128.62
23-02-2015,130.02
24-02-2015,132.94
25-02-2015,131.56
26-02-2015,128.785
27-02-2015,130
02-03-2015,129.25
03-03-2015,128.96
04-03-2015,129.1
05-03-2015,128.58
06-03-2015,128.4
09-03-2015,127.96
10-03-2015,126.41
11-03-2015,124.75
12-03-2015,122.31
13-03-2015,124.4
16-03-2015,123.88
17-03-2015,125.9
18-03-2015,127
19-03-2015,128.75
20-03-2015,128.25
23-03-2015,127.12
24-03-2015,127.23
25-03-2015,126.54
26-03-2015,122.76
27-03-2015,124.57
30-03-2015,124.05
31-03-2015,126.09
01-04-2015,124.82
02-04-2015,125.03
06-04-2015,124.47
07-04-2015,127.64
08-04-2015,125.85
09-04-2015,125.85
10-04-2015,125.95
13-04-2015,128.37
14-04-2015,127
15-04-2015,126.41
16-04-2015,126.28
17-04-2015,125.55
20-04-2015,125.57
21-04-2015,128.1
22-04-2015,126.99
23-04-2015,128.3
24-04-2015,130.49
27-04-2015,132.31
28-04-2015,134.455
29-04-2015,130.16
30-04-2015,127.5
01-05-2015,126.1
04-05-2015,129.5
05-05-2015,128.15
06-05-2015,126.56
07-05-2015,124.77
08-05-2015,126.68
11-05-2015,127.39
12-05-2015,125.6
13-05-2015,126.15
14-05-2015,127.41
15-05-2015,129.07
18-05-2015,128.38
19-05-2015,130.69
20-05-2015,130
21-05-2015,130.07
22-05-2015,131.6
26-05-2015,132.6
27-05-2015,130.34
28-05-2015,131.86
29-05-2015,131.23
01-06-2015,131.2
02-06-2015,129.86
03-06-2015,130.66
04-06-2015,129.58
05-06-2015,129.5
08-06-2015,128.9
09-06-2015,126.7
10-06-2015,127.92
11-06-2015,129.18
12-06-2015,128.185
15-06-2015,126.1
16-06-2015,127.03
17-06-2015,127.72
18-06-2015,127.23
19-06-2015,127.71
22-06-2015,127.49
23-06-2015,127.48
24-06-2015,127.21
25-06-2015,128.86
